id,year,outcome,switcher,xl_area,inc1_fav,inc2_fav,inc3_fav,inc4_fav,inc5_fav,inc6_fav,inc7_fav,inc8_fav,inc9_fav,inc10_fav,inc11_fav,inc12_fav,inc1_opp,inc2_opp,inc3_opp,inc4_opp,inc5_opp,inc6_opp,inc7_opp,inc8_opp,inc9_opp,inc10_opp,inc11_opp,inc12_opp,inc1_dk,inc2_dk,inc3_dk,inc4_dk,inc5_dk,inc6_dk,inc7_dk,inc8_dk,inc9_dk,inc10_dk,inc11_dk,inc12_dk,budget_reconciliation,filibuster_proof,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,inc10,inc11,inc12,total,inc1_score,inc2_score,inc3_score,inc4_score,inc5_score,inc6_score,inc7_score,inc8_score,inc9_score,inc10_score,inc11_score,inc12_score,gridlock,sen_seat_advantage,hs_seat_advantage,unified,cloture,coef_intercept,coef_income,coef_income_squared,pred50_sw,pred90_sw
11,2009,0,0,foreign pol,256,90,91,89,87,0,0,0,0,0,0,0,70,43,34,28,36,0,0,0,0,0,0,0,7,5,2,1,4,0,0,0,0,0,0,0,0,0,333,138,127,118,127,0,0,0,0,0,0,0,843,0.19750889679715303,0.47686832740213525,0.6340450771055753,0.7793594306049823,0.9246737841043892,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.655728141068713,-2.318679684297125,1.7627523254460147,0.7185087217457526,0.7304182849320937
12,2009,0,1,defense,248,79,95,90,90,0,0,0,0,0,0,0,82,58,32,27,36,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,333,138,127,118,127,0,0,0,0,0,0,0,843,0.19750889679715303,0.47686832740213525,0.6340450771055753,0.7793594306049823,0.9246737841043892,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.5398404839147346,-3.032727357412342,2.8214462972269265,0.3254496887803645,0.25053568053143294
13,2009,1,0,health,172,82,60,61,46,0,0,0,0,0,0,0,153,83,44,71,65,0,0,0,0,0,0,0,10,2,2,2,6,0,0,0,0,0,0,0,0,0,335,167,106,134,117,0,0,0,0,0,0,0,859,0.1949941792782305,0.4871944121071013,0.6461001164144354,0.7857974388824215,0.9318975552968569,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,-0.06011788166911211,1.1294545099932511,-1.5107078154821727,0.5316905668428366,0.4335744437368073
14,2009,0,1,defense,254,96,79,98,87,0,0,0,0,0,0,0,62,46,27,31,33,0,0,0,0,0,0,0,8,1,1,0,3,0,0,0,0,0,0,0,0,0,324,143,107,129,123,0,0,0,0,0,0,0,826,0.19612590799031476,0.4788135593220339,0.6301452784503632,0.773002421307506,0.9255447941888619,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.8816500220502979,-3.0586217554111603,2.403216346052136,0.2782531324149441,0.25435936295189565
15,2009,0,0,health,175,84,59,61,50,0,0,0,0,0,0,0,169,51,55,51,68,0,0,0,0,0,0,0,7,7,3,4,5,0,0,0,0,0,0,0,0,0,351,142,117,116,123,0,0,0,0,0,0,0,849,0.2067137809187279,0.49705535924617195,0.6495877502944641,0.7868080094228506,0.9275618374558305,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,42.857142857142854,18,78,1,69,-0.5714250843061435,3.738672344989119,-3.7130178469623374,0.5913760046719089,0.44666260307457095
16,2009,1,0,foreign pol,107,293,0,0,0,0,0,0,0,0,0,0,42,104,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,150,399,0,0,0,0,0,0,0,0,0,0,549,0.1366120218579235,0.6366120218579235,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.9076667315599277,0.2012449873926588,NA,NA,NA
17,2009,1,0,0,173,50,50,54,74,0,0,0,0,0,0,0,120,111,72,68,57,0,0,0,0,0,0,0,10,3,3,4,5,0,0,0,0,0,0,0,0,0,303,164,125,126,136,0,0,0,0,0,0,0,854,0.17740046838407494,0.45081967213114754,0.6200234192037472,0.7669789227166277,0.9203747072599532,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.4823520487030994,-7.711384492364951,7.0289908130023875,0.35067067343251035,0.5586262355524073
18,2009,0,0,foreign pol,77,209,0,0,0,0,0,0,0,0,0,0,71,185,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,150,399,0,0,0,0,0,0,0,0,0,0,549,0.1366120218579235,0.6366120218579235,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,0.0699635551780686,0.08170576411567856,NA,NA,NA
19,2009,1,0,foreign pol,124,316,0,0,0,0,0,0,0,0,0,0,24,76,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,150,399,0,0,0,0,0,0,0,0,0,0,549,0.1366120218579235,0.6366120218579235,1,1,1,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,1.701577151092255,-0.4344377239131862,NA,NA,NA
20,2009,0,0,environment,166,99,66,70,61,0,0,0,0,0,0,0,132,59,54,53,66,0,0,0,0,0,0,0,5,6,5,3,9,0,0,0,0,0,0,0,0,0,303,164,125,126,136,0,0,0,0,0,0,0,854,0.17740046838407494,0.45081967213114754,0.6200234192037472,0.7669789227166277,0.9203747072599532,1,1,1,1,1,1,1,42.857142857142854,18,78,1,69,-0.07160307836913071,2.164907383410687,-2.354531449738014,0.604013816194521,0.4924113558653123
